sample,time_raw,adc,mv
0,-19999,10,0
1,0,10,0
2,20000,10,0
3,40000,10,0
4,60000,10,0
5,80000,10,0
6,100000,10,0
7,120000,10,0
8,140000,10,0
9,160000,10,0
10,180000,10,0
11,200000,10,0
12,220000,10,0
13,240000,10,0
14,260000,10,0
15,280000,10,0
16,300000,10,0
17,320000,10,0
18,340000,10,0
19,360000,-279,-4
20,380000,10,0
21,400000,10,0
22,420000,10,0
23,440000,10,0
24,460000,10,0
25,480000,10,0
26,500000,10,0
27,520000,10,0
28,540000,10,0
29,560000,10,0
30,580000,10,0
31,600000,10,0
32,620000,-279,-4
33,640000,10,0
34,660000,10,0
35,680000,10,0
36,700000,10,0
37,720000,10,0
38,740000,10,0
39,760000,10,0
40,780000,10,0
41,800000,10,0
42,820000,-279,-4
43,840000,10,0
44,860000,10,0
45,880000,10,0
46,900000,10,0
47,920000,-279,-4
48,940000,10,0
49,960000,10,0
50,980000,10,0
51,1000000,10,0
52,1020000,10,0
53,1040000,10,0
54,1060000,10,0
55,1080000,10,0
56,1100000,10,0
57,1120000,10,0
58,1140000,10,0
59,1160000,10,0
60,1180000,10,0
61,1200000,10,0
62,1220000,10,0
63,1240000,-279,-4
64,1260000,10,0
65,1280000,10,0
66,1300000,10,0
67,1320000,-279,-4
68,1340000,10,0
69,1360000,10,0
70,1380000,-279,-4
71,1400000,10,0
72,1420000,10,0
73,1440000,10,0
74,1460000,10,0
75,1480000,10,0
76,1500000,10,0
77,1520000,10,0
78,1540000,10,0
79,1560000,10,0
80,1580000,-279,-4
81,1600000,10,0
82,1620000,10,0
83,1640000,10,0
84,1660000,10,0
85,1680000,10,0
86,1700000,10,0
87,1720000,10,0
88,1740000,10,0
89,1760000,10,0
90,1780000,10,0
91,1800000,10,0
92,1820000,10,0
93,1840000,10,0
94,1860000,10,0
95,1880000,10,0
96,1900000,10,0
97,1920000,10,0
98,1940000,10,0
99,1960000,10,0
100,1980000,10,0
101,2000000,10,0
102,2020000,10,0
103,2040000,10,0
104,2060000,10,0
105,2080000,10,0
106,2100000,10,0
107,2120000,10,0
108,2140000,10,0
109,2160000,10,0
110,2180000,10,0
111,2200000,10,0
112,2220000,10,0
113,2240000,10,0
114,2260000,10,0
115,2280000,10,0
116,2300000,10,0
117,2320000,10,0
118,2340000,10,0
119,2360000,10,0
120,2380000,10,0
121,2400000,10,0
122,2420000,10,0
123,2440000,10,0
124,2460000,10,0
125,2480000,10,0
126,2500000,10,0
127,2520000,10,0
128,2540000,10,0
129,2560000,10,0
130,2580000,10,0
131,2600000,10,0
132,2620000,10,0
133,2640000,10,0
134,2660000,10,0
135,2680000,10,0
136,2700000,10,0
137,2720000,10,0
138,2740000,10,0
139,2760000,-279,-4
140,2780000,10,0
141,2800000,10,0
142,2820000,10,0
143,2840000,10,0
144,2860000,10,0
145,2880000,-279,-4
146,2900000,10,0
147,2920000,10,0
148,2940000,10,0
149,2960000,10,0
150,2980000,10,0
151,3000000,10,0
152,3020000,10,0
153,3040000,10,0
154,3060000,10,0
155,3080000,10,0
156,3100000,10,0
157,3120000,10,0
158,3140000,10,0
159,3160000,10,0
160,3180000,10,0
161,3200000,10,0
162,3220000,10,0
163,3240000,-279,-4
164,3260000,10,0
165,3280000,10,0
166,3300000,10,0
167,3320000,10,0
168,3340000,10,0
169,3360000,10,0
170,3380000,10,0
171,3400000,10,0
172,3420000,10,0
173,3440000,10,0
174,3460000,10,0
175,3480000,10,0
176,3500000,10,0
177,3520000,-279,-4
178,3540000,-279,-4
179,3560000,-279,-4
180,3580000,10,0
181,3600000,10,0
182,3620000,10,0
183,3640000,-279,-4
184,3660000,-279,-4
185,3680000,-279,-4
186,3700000,-279,-4
187,3720000,-279,-4
188,3740000,-279,-4
189,3760000,-279,-4
190,3780000,-279,-4
191,3800000,-279,-4
192,3820000,-279,-4
193,3840000,-279,-4
194,3860000,-279,-4
195,3880000,10,0
196,3900000,-279,-4
197,3920000,10,0
198,3940000,10,0
199,3960000,10,0
200,3980000,10,0
201,4000000,10,0
202,4020000,10,0
203,4040000,10,0
204,4060000,10,0
205,4080000,10,0
206,4100000,10,0
207,4120000,10,0
208,4140000,10,0
209,4160000,10,0
210,4180000,10,0
211,4200000,299,4
212,4220000,299,4
213,4240000,299,4
214,4260000,10,0
215,4280000,10,0
216,4300000,10,0
217,4320000,10,0
218,4340000,10,0
219,4360000,10,0
220,4380000,10,0
221,4400000,10,0
222,4420000,10,0
223,4440000,-279,-4
224,4460000,-279,-4
225,4480000,-279,-4
226,4500000,-279,-4
227,4520000,-279,-4
228,4540000,-279,-4
229,4560000,-279,-4
230,4580000,-279,-4
231,4600000,-279,-4
232,4620000,-279,-4
233,4640000,-279,-4
234,4660000,-568,-8
235,4680000,-279,-4
236,4700000,-279,-4
237,4720000,-279,-4
238,4740000,-279,-4
239,4760000,-279,-4
240,4780000,-279,-4
241,4800000,-279,-4
242,4820000,-279,-4
243,4840000,-279,-4
244,4860000,10,0
245,4880000,10,0
246,4900000,10,0
247,4920000,10,0
248,4940000,10,0
249,4960000,-279,-4
250,4980000,-279,-4
251,5000000,10,0
252,5020000,10,0
253,5040000,10,0
254,5060000,10,0
255,5080000,10,0
256,5100000,-279,-4
257,5120000,10,0
258,5140000,10,0
259,5160000,10,0
260,5180000,10,0
261,5200000,10,0
262,5220000,10,0
263,5240000,10,0
264,5260000,10,0
265,5280000,10,0
266,5300000,10,0
267,5320000,10,0
268,5340000,10,0
269,5360000,10,0
270,5380000,10,0
271,5400000,10,0
272,5420000,10,0
273,5440000,10,0
274,5460000,10,0
275,5480000,10,0
276,5500000,-279,-4
277,5520000,10,0
278,5540000,10,0
279,5560000,10,0
280,5580000,10,0
281,5600000,10,0
282,5620000,10,0
283,5640000,10,0
284,5660000,10,0
285,5680000,10,0
286,5700000,10,0
287,5720000,10,0
288,5740000,10,0
289,5760000,10,0
